VOTED,SEX,RACE,EDUC,EMPSTAT,NATIVITY,REGION,METRO,MARST,DIFFMOB,AGE,NCHILD,INCOME_PER_PERSON
voted,female,white,master_higher,employed,foreign_born,south,metropolitan,has_spouse,no_mobility_limitation,48,0,75000.0
voted,male,white,college_grad,employed,foreign_born,south,metropolitan,has_spouse,no_mobility_limitation,48,0,75000.0
not_voted,male,white,hs_grad,employed,native_born,south,metropolitan,no_spouse,no_mobility_limitation,28,0,22500.0
not_voted,female,white,college_grad,not_in_labor_force,foreign_born,south,metropolitan,has_spouse,no_mobility_limitation,58,1,22500.0
not_voted,male,white,hs_grad,employed,foreign_born,south,metropolitan,has_spouse,no_mobility_limitation,63,1,22500.0
not_voted,male,white,hs_grad,employed,foreign_born,south,metropolitan,no_spouse,no_mobility_limitation,38,0,22500.0
voted,male,white,master_higher,retired,native_born,south,metropolitan,has_spouse,no_mobility_limitation,68,0,33750.0
voted,female,white,college_grad,employed,native_born,south,metropolitan,has_spouse,no_mobility_limitation,63,0,33750.0
voted,female,white,hs_grad,not_in_labor_force,native_born,south,metropolitan,no_spouse,no_mobility_limitation,58,0,2500.0
voted,male,black,master_higher,employed,native_born,south,not_metropolitan,has_spouse,no_mobility_limitation,38,2,37500.0
voted,female,black,master_higher,employed,native_born,south,not_metropolitan,has_spouse,no_mobility_limitation,38,2,37500.0
not_voted,female,black,master_higher,employed,native_born,south,metropolitan,no_spouse,no_mobility_limitation,38,1,27500.0
voted,male,white,hs_grad,retired,native_born,south,metropolitan,has_spouse,no_mobility_limitation,78,0,8750.0
voted,female,white,hs_grad,retired,native_born,south,metropolitan,has_spouse,no_mobility_limitation,78,0,8750.0
voted,male,white,college_grad,employed,native_born,south,metropolitan,has_spouse,no_mobility_limitation,58,0,75000.0
voted,female,white,college_grad,employed,native_born,south,metropolitan,has_spouse,no_mobility_limitation,53,0,75000.0
voted,male,white,college_grad,employed,native_born,midwest,metropolitan,has_spouse,no_mobility_limitation,63,0,43750.0
voted,female,white,college_grad,not_in_labor_force,native_born,midwest,metropolitan,has_spouse,no_mobility_limitation,53,0,43750.0
voted,female,white,college_grad,retired,native_born,midwest,metropolitan,no_spouse,no_mobility_limitation,83,0,17500.0
voted,male,white,college_grad,employed,native_born,midwest,not_metropolitan,has_spouse,no_mobility_limitation,58,0,62500.0
voted,female,white,master_higher,employed,native_born,midwest,not_metropolitan,has_spouse,no_mobility_limitation,58,0,62500.0
not_voted,male,white,college_grad,employed,native_born,midwest,not_metropolitan,no_spouse,no_mobility_limitation,33,0,45000.0
voted,male,white,college_grad,employed,native_born,midwest,not_metropolitan,has_spouse,no_mobility_limitation,63,0,62500.0
voted,female,white,college_grad,retired,native_born,midwest,not_metropolitan,has_spouse,no_mobility_limitation,63,0,62500.0
not_voted,male,white,college_grad,not_in_labor_force,foreign_born,midwest,not_metropolitan,no_spouse,no_mobility_limitation,63,0,12500.0
not_voted,female,white,college_grad,retired,foreign_born,midwest,not_metropolitan,no_spouse,mobility_limitation,83,2,12500.0
voted,male,white,master_higher,employed,native_born,west,metropolitan,no_spouse,no_mobility_limitation,43,0,150000.0
voted,female,white,college_grad,employed,native_born,west,not_metropolitan,no_spouse,no_mobility_limitation,63,0,87500.0
voted,male,white,college_grad,employed,native_born,west,metropolitan,no_spouse,no_mobility_limitation,48,1,33750.0
voted,male,white,hs_grad,retired,native_born,west,metropolitan,no_spouse,no_mobility_limitation,73,0,17500.0
voted,male,white,hs_grad,unemployed,native_born,west,metropolitan,no_spouse,no_mobility_limitation,53,0,37500.0
voted,female,white,college_grad,employed,native_born,south,metropolitan,no_spouse,no_mobility_limitation,53,0,45000.0
voted,female,others,hs_grad,retired,native_born,south,metropolitan,has_spouse,no_mobility_limitation,78,2,6428.571428571428
voted,male,white,college_grad,retired,native_born,south,metropolitan,has_spouse,no_mobility_limitation,78,2,6428.571428571428
voted,female,others,college_grad,employed,native_born,south,metropolitan,no_spouse,no_mobility_limitation,53,0,6428.571428571428
voted,male,others,hs_grad,not_in_labor_force,native_born,south,metropolitan,no_spouse,no_mobility_limitation,48,1,6428.571428571428
voted,female,white,college_grad,employed,native_born,south,metropolitan,no_spouse,no_mobility_limitation,28,1,6428.571428571428
voted,female,white,master_higher,employed,native_born,south,metropolitan,no_spouse,no_mobility_limitation,53,1,22500.0
not_voted,female,white,college_grad,retired,native_born,south,metropolitan,no_spouse,mobility_limitation,83,0,22500.0
not_voted,male,white,hs_grad,employed,native_born,south,metropolitan,no_spouse,no_mobility_limitation,33,0,22500.0
voted,male,white,college_grad,employed,native_born,south,metropolitan,has_spouse,no_mobility_limitation,43,0,75000.0
voted,female,white,hs_grad,employed,native_born,south,metropolitan,has_spouse,no_mobility_limitation,48,0,75000.0
voted,female,white,master_higher,employed,native_born,south,metropolitan,no_spouse,no_mobility_limitation,58,1,62500.0
voted,female,white,college_grad,employed,native_born,south,metropolitan,no_spouse,no_mobility_limitation,23,0,62500.0
not_voted,male,black,college_grad,employed,native_born,south,metropolitan,no_spouse,no_mobility_limitation,33,0,45000.0
not_voted,male,indian_aleut_eskimo,college_grad,not_in_labor_force,native_born,west,not_metropolitan,no_spouse,no_mobility_limitation,63,0,2500.0
voted,female,black,college_grad,retired,native_born,west,metropolitan,no_spouse,mobility_limitation,78,1,33750.0
voted,male,black,hs_grad,unemployed,native_born,west,metropolitan,no_spouse,no_mobility_limitation,58,0,33750.0
not_voted,male,white,hs_grad,not_in_labor_force,native_born,west,not_metropolitan,no_spouse,no_mobility_limitation,73,0,4375.0
not_voted,female,white,hs_grad,retired,native_born,west,not_metropolitan,no_spouse,no_mobility_limitation,83,1,4375.0
voted,male,white,hs_grad,employed,native_born,west,metropolitan,has_spouse,no_mobility_limitation,33,0,27500.0
not_voted,female,white,hs_grad,employed,foreign_born,west,metropolitan,has_spouse,no_mobility_limitation,28,0,27500.0
voted,male,white,master_higher,retired,foreign_born,south,metropolitan,no_spouse,no_mobility_limitation,78,0,150000.0
voted,female,white,master_higher,employed,native_born,south,metropolitan,has_spouse,no_mobility_limitation,58,0,75000.0
voted,male,white,master_higher,employed,native_born,south,metropolitan,has_spouse,no_mobility_limitation,53,0,75000.0
not_voted,male,white,college_grad,retired,native_born,south,metropolitan,no_spouse,no_mobility_limitation,78,0,27500.0
not_voted,male,white,hs_grad,employed,native_born,south,metropolitan,has_spouse,no_mobility_limitation,63,1,50000.0
not_voted,female,black,college_grad,employed,foreign_born,south,metropolitan,has_spouse,no_mobility_limitation,28,1,50000.0
voted,female,white,hs_grad,retired,native_born,south,metropolitan,no_spouse,mobility_limitation,78,0,17500.0
voted,male,white,college_grad,retired,foreign_born,south,metropolitan,has_spouse,no_mobility_limitation,78,1,41666.666666666664
voted,female,white,college_grad,retired,foreign_born,south,metropolitan,has_spouse,no_mobility_limitation,68,1,41666.666666666664
voted,male,white,hs_grad,employed,native_born,south,metropolitan,has_spouse,no_mobility_limitation,68,0,75000.0
voted,female,white,hs_grad,employed,native_born,south,metropolitan,has_spouse,no_mobility_limitation,58,0,75000.0
not_voted,male,white,college_grad,not_in_labor_force,native_born,south,metropolitan,no_spouse,mobility_limitation,73,0,16250.0
voted,female,white,college_grad,retired,native_born,south,metropolitan,no_spouse,no_mobility_limitation,78,1,16250.0
voted,female,white,college_grad,employed,native_born,south,metropolitan,no_spouse,no_mobility_limitation,58,1,27500.0
voted,male,white,hs_grad,employed,native_born,south,metropolitan,no_spouse,no_mobility_limitation,28,0,27500.0
